Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Chet Holmgren,C,C,21,82.0,29.399999999999995,75.81,100.0,70.43,75.69,80.49,10880640,7.4
Paolo Banchero,PF,PF,21,80.0,35.0,67.05,83.08,83.55,93.41,80.45,12160800,6.62
Tyrese Maxey,PG,PG,23,70.0,37.5,82.55,55.8,94.44,89.94,80.31,35147000,2.28
Tyrese Haliburton,PG,PG,23,69.0,32.2,71.8,73.53,98.44,77.81,80.09,42176400,1.9
Nikola Vucevic,C,C,33,76.0,34.3,67.76,96.03,83.66,73.05,79.86,20000000,3.99
Alperen Sengun,C,C,21,63.0,32.5,75.66,84.32,82.52,75.04,79.42,5424654,14.64
Evan Mobley,PF,PF,22,50.0,30.6,75.52,100.0,74.02,66.06,79.37,11227657,7.07
Jalen Johnson,SF,SF,22,56.0,33.7,67.21,100.0,79.16,70.26,79.01,4510905,17.52
Nic Claxton,C,C,24,71.0,29.800000000000004,70.69,100.0,70.65,74.81,78.83,27556817,2.86
Tobias Harris,PF,PF,31,70.0,33.8,73.71,83.55,80.58,74.52,78.05,25365854,3.08
Jimmy Butler,PF,PF,34,60.0,34.0,86.0,69.83,85.72,64.26,77.54,48798677,1.59
Zion Williamson,PF,PF,23,70.0,31.5,82.75,68.9,78.75,78.34,77.41,36725670,2.11
Daniel Gafford,PF,PF,25,56.36486486486486,24.52027027027027,87.24,92.65,62.34,62.03,77.33,13394160,5.77
Fred VanVleet,PG,PG,29,73.0,36.8,62.21,68.29,97.62,85.25,77.19,42846615,1.8
Myles Turner,C,C,27,77.0,27.0,77.88,87.55,64.73,76.07,76.65,19928500,3.85
Damian Lillard,PG,PG,33,73.0,35.3,77.46,59.81,90.08,79.6,76.63,48787676,1.57
Paul George,PF,PF,33,74.0,33.8,79.03,75.07,78.57,72.35,76.59,49205800,1.56
Michael Porter Jr.,SF,SF,25,81.0,31.7,70.56,76.45,73.99,88.84,76.55,35859950,2.13
Pascal Siakam,PF,PF,29,60.0125,33.206875000000004,83.39,66.78,83.12,68.88,76.27,42176400,1.81
Jaylen Brown,SF,SF,27,70.0,33.5,75.94,66.59,78.78,85.05,76.13,49205800,1.55
Victor Wembanyama,C,C,20,71.0,29.7,64.14,100.0,70.78,70.88,76.11,12768960,5.96
